playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,AVG,SLG
aardsda01,331,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0.0,0.0
aaronha01,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,0.30499838240051763,0.5545131025558072
aaronto01,437,944,102,216,42,6,13,94,9,8,86,145,3,0,9,6,36,0.2288135593220339,0.3273305084745763
aasedo01,448,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0
abadan01,15,21,1,2,0,0,0,0,0,1,4,5,0,0,0,0,1,0.09523809523809523,0.09523809523809523
abadfe01,258,8,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0.125,0.125
abadijo01,12,49,4,11,0,0,0,5,1,0,0,3,0,0,0,0,0,0.22448979591836735,0.22448979591836735
abbated01,855,3044,355,772,99,43,11,324,142,0,289,16,0,33,93,0,0,0.2536136662286465,0.3252299605781866
abbeybe01,79,225,21,38,3,3,0,17,3,0,21,54,0,0,4,0,0,0.1688888888888889,0.2088888888888889
abbeych01,451,1751,307,492,67,46,19,280,93,0,167,105,0,23,18,0,0,0.28098229583095374,0.40434037692747
abbotda01,3,7,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.14285714285714285,0.42857142857142855
abbotfr01,160,513,48,107,21,6,1,49,14,0,19,0,0,8,20,0,0,0.20857699805068225,0.2787524366471735
abbotgl01,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
abbotje01,233,596,82,157,33,2,18,83,6,5,38,91,2,3,5,7,12,0.2634228187919463,0.4161073825503356
abbotji01,263,21,0,2,0,0,0,3,0,0,0,10,0,0,3,0,1,0.09523809523809523,0.09523809523809523
abbotku01,702,2044,273,523,109,23,62,242,22,11,133,571,11,17,21,12,37,0.25587084148727984,0.4227005870841487
abbotky01,57,31,2,3,1,0,0,2,0,0,1,19,0,0,6,0,0,0.0967741935483871,0.12903225806451613
abbotod01,22,70,2,13,2,1,0,6,3,0,6,20,0,0,6,0,0,0.18571428571428572,0.24285714285714285
abbotpa01,162,20,2,5,1,0,0,2,0,0,0,6,0,0,5,0,0,0.25,0.3
aberal01,168,100,5,14,0,0,0,6,0,0,8,41,0,0,8,1,2,0.14,0.14
abercda01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
abercre01,180,386,65,86,20,2,9,34,18,8,21,123,2,7,5,2,3,0.22279792746113988,0.3549222797927461
abernbi01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
abernbr01,232,868,97,212,36,5,8,79,21,7,60,93,1,7,16,4,15,0.24423963133640553,0.3248847926267281
abernte01,7,5,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0.2,0.2
abernte02,681,181,12,25,3,0,0,9,0,0,6,74,0,2,15,0,4,0.13812154696132597,0.15469613259668508
abernwo01,16,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0
aberscl01,63,179,25,45,7,3,5,26,0,0,25,44,0,0,0,0,6,0.25139664804469275,0.40782122905027934
ablesha01,14,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
abnersh01,392,840,89,191,39,4,11,71,6,8,43,153,10,7,5,7,14,0.22738095238095238,0.32261904761904764
abramca01,567,1611,257,433,64,19,32,138,12,18,304,290,2,7,16,4,22,0.26877715704531346,0.39168218497827434
abramge01,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
abregjo01,6,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0.0,0.0
abreubo01,2425,8480,1453,2470,574,59,288,1363,400,128,1476,1840,115,33,7,85,165,0.29127358490566035,0.47476415094339625
abreujo01,9,28,4,6,1,0,1,3,0,0,4,4,0,0,0,0,1,0.21428571428571427,0.35714285714285715
abreujo02,299,1169,168,354,69,5,66,208,3,1,90,271,26,26,0,5,30,0.3028229255774166,0.5397775876817793
abreuju01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
abreuto01,224,579,61,147,39,6,6,60,2,4,22,116,2,5,1,8,20,0.2538860103626943,0.37305699481865284
abreuwi01,38,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
abstebi01,170,619,54,150,22,10,1,76,21,0,29,0,0,4,29,0,0,0.24232633279483037,0.3150242326332795
accarje01,262,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14285714285714285,0.14285714285714285
aceveal01,204,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
acevejo01,104,101,2,8,2,0,0,4,0,0,5,61,0,1,12,1,2,0.07920792079207921,0.09900990099009901
aceveju01,367,65,4,6,2,0,0,0,0,0,3,33,0,0,6,0,2,0.09230769230769231,0.12307692307692308
achteaj01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ackerji01,467,54,2,9,1,0,0,1,0,0,2,32,0,0,0,0,1,0.16666666666666666,0.18518518518518517
ackerto01,153,77,10,5,0,0,0,2,0,0,12,46,0,1,6,0,1,0.06493506493506493,0.06493506493506493
ackledu01,607,2064,255,503,94,18,46,212,31,12,186,410,10,5,11,11,25,0.2437015503875969,0.373546511627907
acklefr01,5,6,0,2,1,0,0,1,0,0,1,4,0,0,0,0,0,0.3333333333333333,0.5
acostcy01,107,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0,0.0
acosted01,57,29,1,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0.034482758620689655,0.034482758620689655
acostjo01,55,60,4,9,1,0,0,1,1,0,11,22,0,0,3,0,0,0.15,0.16666666666666666
acostma01,233,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0.0,0.0
acostme01,180,436,56,111,9,7,0,37,17,8,63,46,0,4,19,0,0,0.2545871559633027,0.3073394495412844
acrema01,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
adairje01,1165,4019,378,1022,163,19,57,366,29,29,208,499,31,17,41,30,149,0.25429211246578753,0.3468524508584225
adairji01,18,76,9,21,3,1,0,3,1,0,1,8,0,0,2,0,0,0.27631578947368424,0.34210526315789475
adamecr01,33,68,5,14,1,1,0,3,0,1,3,16,1,1,1,0,1,0.20588235294117646,0.25
adamsac01,302,99,9,12,0,0,0,2,0,0,6,14,0,0,8,0,2,0.12121212121212122,0.12121212121212122
adamsau01,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
adamsba01,482,1019,79,216,31,15,3,75,1,1,53,177,0,1,35,0,0,0.21197252208047104,0.2806673209028459
adamsbe01,267,678,37,137,17,4,2,45,9,0,23,79,0,1,23,0,0,0.20206489675516223,0.24778761061946902
adamsbo01,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333
adamsbo02,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
adamsbo03,1281,4019,591,1082,188,49,37,303,67,30,414,447,1,17,78,5,62,0.2692211993033093,0.3680019905449117
adamsbo04,15,24,2,6,1,0,2,2,0,0,0,5,0,0,0,0,0,0.25,0.5416666666666666
adamsbu01,576,2003,282,532,96,12,50,249,12,0,234,281,0,13,42,0,35,0.2656015976035946,0.400399400898652
adamsda01,47,55,1,8,0,0,1,3,0,0,3,18,0,0,1,0,0,0.14545454545454545,0.2
adamsda02,43,140,10,27,5,1,2,13,0,0,9,43,0,2,1,0,4,0.19285714285714287,0.2857142857142857
adamsdi01,37,89,9,18,2,3,2,11,0,0,2,18,0,0,2,0,0,0.20224719101123595,0.3595505617977528
adamsdo01,8,14,1,3,0,0,0,1,0,0,1,3,0,0,0,0,1,0.21428571428571427,0.21428571428571427
adamsge01,4,13,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.23076923076923078,0.23076923076923078
adamsgl01,661,1617,152,452,79,5,34,225,6,10,111,183,8,4,9,19,47,0.2795299938157081,0.3976499690785405
adamshe01,95,337,39,88,8,6,0,18,4,2,22,24,0,2,3,0,5,0.26112759643916916,0.32047477744807124
adamsji01,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25
adamsjo01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
adamsjo02,44,10,0,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0.3,0.4
adamska01,30,32,0,1,0,0,0,0,0,0,0,16,0,0,1,0,0,0.03125,0.03125
adamsla01,6,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0
adamsma01,337,1084,123,299,63,5,39,156,4,3,64,259,6,3,0,8,22,0.275830258302583,0.4511070110701107
adamsmi01,11,6,1,2,0,1,0,1,0,0,0,4,0,0,1,0,0,0.3333333333333333,0.6666666666666666
adamsmi02,100,118,27,23,5,0,3,9,2,1,32,29,0,2,0,0,2,0.19491525423728814,0.3135593220338983
adamsmi03,410,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
adamsre01,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
adamsri01,11,23,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0.17391304347826086,0.17391304347826086
adamsri02,120,247,35,53,5,1,4,16,3,2,10,37,3,5,7,0,5,0.2145748987854251,0.291497975708502
adamsru01,286,884,125,218,46,7,17,113,15,5,85,118,2,5,8,11,14,0.24660633484162897,0.3721719457013575
adamsry01,29,89,9,25,4,0,0,7,0,0,6,25,0,1,0,0,7,0.2808988764044944,0.3258426966292135
adamssp01,1424,5557,844,1588,249,48,9,394,154,50,453,223,0,28,136,0,14,0.2857657009177614,0.3527082958430808
adamssp02,180,395,61,101,16,5,0,38,5,10,38,50,0,2,12,0,0,0.25569620253164554,0.32151898734177214
adamste01,574,78,2,4,1,0,0,2,0,0,7,41,0,0,12,1,1,0.05128205128205128,0.0641025641025641
adamswi01,65,88,4,9,1,1,0,2,0,0,3,18,0,0,1,0,0,0.10227272727272728,0.13636363636363635
adamswi02,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
adcocjo01,1959,6606,823,1832,295,35,336,1122,20,25,594,1059,55,17,52,35,223,0.2773236451710566,0.48516500151377534
adcocna01,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
addisbo01,208,534,70,150,22,2,2,47,8,6,37,47,0,0,5,0,9,0.2808988764044944,0.3408239700374532
adducji01,70,144,11,34,8,1,1,15,0,1,2,27,0,0,1,3,1,0.2361111111111111,0.3263888888888889
adducji02,61,132,15,25,4,0,1,8,5,1,13,36,0,0,1,2,2,0.1893939393939394,0.24242424242424243
addybo01,274,1231,227,341,35,12,1,172,30,15,19,7,0,0,0,0,0,0.2770105605199025,0.3273761169780666
adenhni01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
aderhmo01,106,262,36,70,7,3,3,32,3,1,19,29,0,0,0,0,1,0.26717557251908397,0.3511450381679389
adkinde01,38,22,2,5,1,0,1,3,0,0,0,10,0,0,1,0,0,0.22727272727272727,0.4090909090909091
adkindi01,3,7,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0.14285714285714285,0.14285714285714285
adkindo01,6,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666
adkingr01,76,116,9,21,3,3,0,6,1,0,6,26,0,1,10,0,0,0.1810344827586207,0.25862068965517243
adkinhe01,1,5,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0.4,0.4
adkinjo01,119,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
adkinst01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
adlesda01,106,256,9,43,3,1,1,11,0,0,18,80,5,2,2,1,9,0.16796875,0.19921875
adriaeh01,114,228,24,48,14,1,1,19,4,3,21,47,1,5,5,1,5,0.21052631578947367,0.29385964912280704
afenitr01,45,79,4,15,2,2,0,7,0,0,5,32,0,0,1,1,1,0.189873417721519,0.26582278481012656
affelje01,774,17,0,3,0,0,0,2,0,0,2,6,0,0,0,0,0,0.17647058823529413,0.17647058823529413
agbaybe01,383,1091,145,299,57,6,39,156,16,16,139,246,7,15,1,8,31,0.27406049495875345,0.44454628780934924
ageeto01,1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,0.2553680981595092,0.41232106339468305
agganha01,157,517,65,135,23,9,11,67,8,3,57,67,0,0,7,6,9,0.2611218568665377,0.40425531914893614
aglerjo01,234,751,121,185,22,10,0,36,38,0,131,130,0,1,21,0,0,0.24633821571238348,0.3022636484687084
agnewsa01,563,1537,105,314,41,14,2,98,29,10,102,216,0,25,47,0,0,0.20429407937540664,0.2530904359141184
agostju01,543,20,0,2,0,0,0,0,0,0,1,7,0,0,1,0,0,0.1,0.1
aguaylu01,568,1104,142,260,43,10,37,109,7,5,94,220,12,20,14,12,27,0.23550724637681159,0.39311594202898553
aguilch01,149,230,26,53,13,2,3,16,2,2,16,61,1,0,2,0,3,0.23043478260869565,0.34347826086956523
aguilje01,26,52,2,10,1,0,0,5,0,0,4,20,0,1,0,1,1,0.19230769230769232,0.21153846153846154
aguilri01,737,139,12,28,3,0,3,11,0,0,6,37,0,0,16,0,1,0.2014388489208633,0.28776978417266186
aguirha01,447,388,14,33,7,1,0,21,1,0,14,236,0,0,24,1,4,0.08505154639175258,0.10824742268041238
ahearch01,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25
ahearpa01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ahmedni01,159,491,58,109,19,6,10,38,4,6,32,91,1,1,7,3,6,0.2219959266802444,0.34623217922606925
aikenwi01,774,2492,301,675,125,2,110,415,3,6,319,444,42,18,0,27,87,0.27086677367576245,0.4550561797752809
aingeda01,211,665,57,146,19,4,2,37,12,5,37,128,2,4,12,3,16,0.21954887218045113,0.26917293233082706
ainsmed01,1078,3048,299,707,108,54,22,317,86,16,263,315,0,12,99,0,0,0.23195538057742782,0.3244750656167979
ainswku01,30,28,1,2,1,0,0,0,0,0,0,8,0,0,5,0,0,0.07142857142857142,0.10714285714285714
aitchra01,34,59,4,10,0,0,0,2,0,0,9,17,0,0,3,0,0,0.1694915254237288,0.1694915254237288
aitonge01,10,17,1,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0.23529411764705882,0.23529411764705882
akejo01,13,52,1,10,0,1,0,2,0,0,0,0,0,1,0,0,0,0.19230769230769232,0.23076923076923078
akerfda01,125,9,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0.1111111111111111,0.1111111111111111
akerja01,496,92,3,7,2,0,0,4,0,0,1,51,0,1,10,0,1,0.07608695652173914,0.09782608695652174
akersbi01,174,475,64,124,17,9,11,69,7,6,63,64,0,1,14,0,0,0.26105263157894737,0.40421052631578946
akersje01,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333
albagi01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
albaljo01,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
albanjo01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
alberan01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
alberbu01,6,18,1,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0.2777777777777778,0.3333333333333333
albercy01,4,7,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0.0,0.0
albergu01,120,426,62,84,10,6,1,50,27,0,52,5,0,9,0,0,0,0.19718309859154928,0.25586854460093894
alberha01,41,99,12,22,2,1,0,4,1,0,2,17,0,0,3,0,2,0.2222222222222222,0.26262626262626265
alberjo01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
alberma01,394,34,0,2,0,0,0,0,0,0,0,21,0,0,3,0,0,0.058823529411764705,0.058823529411764705
albosed01,19,12,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0.08333333333333333,0.08333333333333333
albreed01,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.0
albrija01,41,99,9,23,4,0,2,5,1,0,10,11,0,0,3,0,2,0.23232323232323232,0.3333333333333333
albural01,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
alburvi01,102,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
alcalsa01,68,71,6,8,1,0,1,4,0,0,2,41,0,0,7,0,0,0.11267605633802817,0.16901408450704225
alcanar01,81,304,36,59,11,2,10,30,9,5,22,104,0,2,2,2,3,0.19407894736842105,0.34210526315789475
alcanis01,51,115,15,31,3,0,6,15,1,1,6,26,0,0,0,0,3,0.26956521739130435,0.45217391304347826
alcarlu01,115,365,30,70,9,2,4,29,2,2,21,58,2,0,2,2,7,0.1917808219178082,0.2602739726027397
alcocsc01,54,156,12,27,4,2,0,7,4,2,7,14,0,1,5,0,0,0.17307692307692307,0.22435897435897437
alderda01,16,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0
aldremi01,930,2147,277,565,104,9,41,271,19,18,314,381,29,5,14,18,43,0.2631578947368421,0.37727061015370283
aldresc01,229,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
aldrico01,13,18,1,1,0,1,0,1,0,0,0,9,0,0,0,0,0,0.05555555555555555,0.16666666666666666
aldrija01,62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
aldrivi01,248,581,46,133,14,4,2,60,2,0,10,41,0,0,32,0,0,0.2289156626506024,0.27710843373493976
alenoch01,118,320,34,67,11,3,2,34,3,0,31,35,0,1,4,0,7,0.209375,0.28125
alexabo01,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
alexada01,662,2450,369,811,164,30,61,459,20,28,248,197,0,6,32,0,0,0.3310204081632653,0.49714285714285716
alexado01,562,265,19,44,8,0,0,17,0,0,9,77,0,1,23,2,7,0.1660377358490566,0.19622641509433963
alexaga01,432,1276,169,293,45,11,55,202,8,12,154,381,12,5,4,19,34,0.22962382445141066,0.4114420062695925
alexage01,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
alexahu01,7,11,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0.09090909090909091,0.09090909090909091
alexama01,374,168,111,36,4,2,0,4,103,42,18,26,1,1,8,0,2,0.21428571428571427,0.2619047619047619
alexama02,594,1271,166,293,50,12,15,115,37,10,86,276,7,7,19,4,17,0.23052714398111723,0.3241542092840283
alexani01,20,69,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0.13043478260869565,0.13043478260869565
alexape01,703,1810,154,378,60,13,11,163,3,5,77,276,0,2,88,0,0,0.20883977900552486,0.274585635359116
alexasc01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
alexawa01,162,405,26,76,18,3,1,24,5,1,42,83,0,4,16,0,0,0.18765432098765433,0.254320987654321
alfarja01,7,11,1,2,0,0,0,0,0,0,0,5,0,0,1,0,1,0.18181818181818182,0.18181818181818182
alfonan01,592,14,0,2,0,0,0,2,0,0,0,8,0,0,1,0,0,0.14285714285714285,0.14285714285714285
alfoned01,1506,5385,777,1532,282,18,146,744,53,17,596,617,22,41,31,55,110,0.28449396471680594,0.42488393686165277
alfonel01,193,591,44,142,24,3,17,67,1,2,17,158,9,9,4,3,17,0.24027072758037224,0.377326565143824
alicelu01,1341,3971,551,1031,189,53,47,422,81,50,500,624,25,48,49,45,74,0.25963233442457817,0.36942835557794007
allanan01,512,1486,145,357,48,4,16,140,23,18,87,223,4,9,35,16,27,0.24024226110363392,0.310228802153432
allarbr01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
allenbe01,1139,3404,357,815,140,21,73,351,13,16,370,424,52,8,24,17,60,0.23942420681551116,0.3572267920094007
allenbo01,606,2211,337,532,77,44,14,306,53,0,297,209,0,13,3,0,0,0.24061510628674807,0.3342379014020805
allenbo02,9,22,3,3,1,0,0,0,0,0,3,7,0,1,0,0,0,0.13636363636363635,0.18181818181818182
allenbo03,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333333333333333,0.3333333333333333
allenbo04,204,31,0,4,1,0,0,0,0,0,1,16,0,0,2,0,0,0.12903225806451613,0.16129032258064516
allenbr01,116,344,44,70,19,2,12,41,3,0,42,137,6,1,0,2,4,0.20348837209302326,0.375
allench01,267,851,102,229,44,8,14,84,15,13,63,173,2,4,5,5,22,0.2690951821386604,0.3889541715628672
allenco01,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
allendi01,1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,138,16,19,53,164,0.29185091598231205,0.5336386607706886
allendu01,27,28,5,7,2,0,2,2,0,0,4,12,0,0,0,0,1,0.25,0.5357142857142857
allenet01,1281,4418,623,1325,255,45,47,501,84,4,223,310,0,14,110,0,38,0.29990946129470347,0.40991398822996833
allenfr01,181,288,23,39,8,6,2,25,1,0,35,126,0,1,14,0,0,0.13541666666666666,0.22569444444444445
allenga01,416,1061,114,235,49,2,19,131,3,7,130,192,3,5,15,11,35,0.22148916116870876,0.32516493873704055
allenha01,16,66,8,18,1,0,0,7,0,0,0,1,0,0,0,0,0,0.2727272727272727,0.2878787878787879
